Category,Material,Weight,CarbonEmission
Electronics,Television,83,30.289774856896415
Electronics,Television,76,30.08939391914565
Automobile,Petrol,13,14.760775202130246
Clothing,Nylon,95,7.7542612212880115
Food,Dairy,71,11.18617818232412
Automobile,Electric,70,3.3544195851196625
Food,Meat,25,26.05712493335631
Automobile,Electric,76,3.7746340534293368
Automobile,Hybrid,25,9.656798763368831
Electronics,Laptop,90,24.898050487520145
Clothing,Wool,89,7.297946906122648
Food,Meat,74,23.3302208279316
Clothing,Silk,99,5.374383704767069
Food,Vegetables,51,1.739264835108181
Food,Processed Foods,29,20.285865390724904
Clothing,Nylon,27,10.389602828146591
Clothing,Cotton,82,3.4167057864631127
Food,Grains,80,5.380197851005963
Automobile,Petrol,50,15.203822727527466
Electronics,Smartwatch,72,8.32054071799821
Clothing,Nylon,42,10.778924343885961
Clothing,Wool,24,7.838714288333991
Electronics,Television,74,30.40203448004692
Clothing,Wool,38,9.402794310936098
Electronics,Tablet,47,20.987493005700724
Electronics,Smartwatch,78,9.010395179741419
Food,Dairy,81,10.145226777129347
Automobile,Hybrid,54,11.85996700648693
Electronics,Tablet,65,19.42310813047685
Food,Processed Foods,61,20.469620789375504
Clothing,Silk,60,5.477538520467418
Electronics,Smartwatch,36,9.864899692085062
Clothing,Silk,20,4.86957194687947
Automobile,Diesel,69,19.6756045524326
Automobile,Diesel,90,19.535470251355033
Automobile,Hybrid,8,8.959149846720104
Automobile,Diesel,2,20.14818173137915
Food,Vegetables,3,0.5924883052821788
Food,Vegetables,91,0.49723498236939645
Food,Dairy,3,9.692214383320188
Clothing,Cotton,73,5.832461857121157
Automobile,Hybrid,63,10.761571841297597
Food,Grains,72,6.129069437535143
Clothing,Nylon,13,9.257207490980107
Clothing,Polyester,96,9.21795217370016
Food,Processed Foods,88,21.0485309385076
Clothing,Nylon,9,8.550695613904217
Food,Dairy,55,10.132936185222691
Electronics,Smartphone,66,14.518661650720274
Clothing,Polyester,8,8.633217861113703
Clothing,Nylon,98,9.165022798109339
Food,Dairy,59,9.87538621865653
Electronics,Tablet,83,20.53891004368466
Electronics,Laptop,42,26.04531279300761
Clothing,Nylon,32,7.852280027175
Clothing,Nylon,2,9.88283766050939
Electronics,Smartwatch,75,7.6792626260218695
Electronics,Television,94,29.203104744529522
Clothing,Silk,33,6.65655360863383
Food,Grains,17,4.4839552717826265
Food,Meat,85,23.99291063569374
Automobile,Diesel,4,20.567768367757626
Clothing,Cotton,21,4.474830192821853
Automobile,Hybrid,58,10.851944467564685
Clothing,Silk,99,6.8161527228813705
Automobile,Hybrid,64,9.50510657243472
Food,Dairy,40,10.711622650470822
Food,Dairy,2,11.454927808325667
Food,Processed Foods,49,22.501698212860443
Clothing,Silk,35,4.808696502797352
Food,Grains,45,5.222133771633713
Food,Vegetables,59,1.271684850052114
Food,Processed Foods,84,19.335465070357788
Electronics,Smartphone,38,14.546203335027844
Clothing,Silk,75,5.773277544450639
Automobile,Petrol,71,14.52261826942468
Automobile,Diesel,75,20.36201391194247
Automobile,Hybrid,8,10.462724313641118
Electronics,Tablet,3,19.851448594992952
Electronics,Smartwatch,88,10.055155876418612
Electronics,Smartphone,91,15.251194972219674
Clothing,Wool,9,9.945115614486786
Electronics,Smartwatch,97,10.087035228146673
Clothing,Wool,52,8.817873512216565
Clothing,Polyester,28,10.823733076975142
Food,Meat,4,24.81601666364732
Food,Meat,26,23.711552620242674
Clothing,Wool,86,7.119359181470231
Clothing,Cotton,78,3.806841770510908
Automobile,Hybrid,99,9.528080258709858
Electronics,Smartphone,79,16.273993390588817
Automobile,Diesel,19,21.163163752154958
Automobile,Diesel,39,19.06740834343892
Electronics,Smartphone,1,13.400876527462518
Automobile,Hybrid,3,9.88906806437049
Food,Vegetables,55,1.2841901311313826
Automobile,Diesel,65,20.280991867735032
Electronics,Television,14,30.11372946021298
Clothing,Nylon,26,9.304449119870853
Clothing,Cotton,62,5.067528204687924
Food,Processed Foods,46,19.786011155774492
Electronics,Tablet,33,19.793761041044135
Electronics,Television,29,31.705824859337685
Electronics,Smartphone,77,15.375588067991645
Electronics,Laptop,23,24.012064154203458
Clothing,Wool,62,7.129695045438926
Food,Meat,86,24.903286888129607
Food,Grains,66,5.889630795623437
Automobile,Hybrid,58,10.224092481810416
Electronics,Tablet,51,19.569207612077385
Automobile,Petrol,89,13.256714752788241
Electronics,Tablet,18,18.692342931816242
Electronics,Smartwatch,20,11.567594420878969
Electronics,Smartphone,51,16.334445640864136
Clothing,Polyester,42,10.821902504375224
Clothing,Polyester,43,11.622920499341374
Electronics,Television,33,30.72077304914058
Clothing,Nylon,16,9.988202610504112
Electronics,Television,15,31.090362911693646
Clothing,Cotton,53,4.250923476556645
Automobile,Electric,62,3.5049872789804573
Food,Meat,1,24.477276979480962
Clothing,Wool,96,8.40405085681454
Food,Dairy,26,10.82441538825746
Food,Dairy,43,9.055309312463569
Food,Vegetables,63,1.701362208201482
Clothing,Silk,71,6.536336032382065
Automobile,Diesel,34,19.971578542400934
Food,Grains,14,5.133847654246
Automobile,Petrol,89,14.560482124525723
Automobile,Electric,58,2.884526590076267
Electronics,Tablet,68,21.34309881810773
Clothing,Nylon,45,12.85273149065472
Electronics,Laptop,19,24.49676251433425
Clothing,Polyester,89,9.486674594602833
Electronics,Tablet,26,20.494566602142484
Electronics,Smartphone,53,14.686976291783559
Electronics,Tablet,63,21.106329104828443
Food,Dairy,24,10.095320806947718
Automobile,Hybrid,28,10.976309126481103
Clothing,Nylon,99,8.050480954821142
Clothing,Wool,73,7.009463674869312
Electronics,Laptop,12,24.446350694652818
Food,Grains,99,5.938283805975997
Food,Processed Foods,89,20.632931817755512
Food,Dairy,36,10.198558362896291
Clothing,Polyester,15,10.423943069790933
Food,Vegetables,26,1.7311113094451693
Automobile,Electric,5,3.679597748934676
Clothing,Nylon,95,7.0557704062504
Food,Processed Foods,56,19.63716143956034
Automobile,Petrol,46,14.56669659309744
Food,Processed Foods,3,19.44777695571903
Electronics,Smartphone,32,14.998364033355902
Food,Vegetables,57,1.29552989654047
Automobile,Petrol,52,14.869856945632316
Electronics,Smartphone,69,14.515624308030697
Clothing,Nylon,6,8.756865539592985
Clothing,Polyester,91,7.955576978180085
Food,Grains,13,4.980118389711135
Electronics,Laptop,4,24.060120213672644
Food,Grains,13,5.640903849409236
Electronics,Smartphone,84,15.796405429696327
Electronics,Smartphone,75,16.212815073682684
Electronics,Smartphone,54,15.06751848141011
Automobile,Hybrid,36,10.012592400781795
Food,Dairy,92,9.581295159193552
Food,Meat,67,23.443370826476098
Electronics,Laptop,47,25.042134081741928
Food,Dairy,39,10.541001872603628
Automobile,Petrol,74,14.697675757923692
Automobile,Hybrid,65,9.717778811012789
Electronics,Tablet,4,21.795164556638962
Food,Processed Foods,3,19.895950243200364
Electronics,Tablet,26,21.783112835375057
Clothing,Silk,54,4.783145107640761
Food,Meat,2,26.76468693426272
Automobile,Petrol,37,15.232049937357637
Automobile,Electric,97,1.1196874115474436
Clothing,Polyester,6,10.892629471506162
Clothing,Polyester,47,11.06948088619693
Food,Meat,87,25.100817422254053
